run_name,elapsed_sec,rmse_mean,mae_mean,r2_mean,pearson_mean,rmse_std,mae_std,r2_std,pearson_std
base,247.99885320663452,0.9051205146837699,0.7057643025712503,0.8035727051952681,0.8990772073646744,0.0,0.0,0.0,0.0
binding_circular,632.0907638072968,1.0956329631671466,0.8227364766395501,0.7121811730817701,0.8555352114698421,0.0,0.0,0.0,0.0
binding_hadamard,588.1635241508484,0.802775936546498,0.6180698208208668,0.8454824865587961,0.9195960155943962,0.0,0.0,0.0,0.0
edge,580.2978398799896,0.802775936546498,0.6180698208208668,0.8454824865587961,0.9195960155943962,0.0,0.0,0.0,0.0
edge_bounded,607.5933010578156,0.708568924840931,0.5466617889347807,0.8796203094242304,0.9387241879359378,0.0,0.0,0.0,0.0
edge_orthogonal,593.6503858566284,0.783744720436132,0.6075740696458428,0.8527218651804243,0.9239019643698609,0.0,0.0,0.0,0.0
reservoir,420.5524253845215,0.7299442855662764,0.5619424768169985,0.872247783201608,0.9345402258939254,0.0,0.0,0.0,0.0
sigma_pi,417.2768199443817,0.7309201617543936,0.5669330504233259,0.8719059662002828,0.9347509765849354,0.0,0.0,0.0,0.0
traditional_baseline,21.87464690208435,0.5962737024776354,0.43921780468461424,0.9147527595256707,0.9569062064559644,0.0,0.0,0.0,0.0
best3_new_seed0_novel,288.89766907691956,0.6774366148732924,0.5374400231146044,0.4180156247653599,0.7117625356679774,0.0,0.0,0.0,0.0
best3_phi1_seed0_novel,285.60648584365845,0.630975377217217,0.4979186904045843,0.49510761953206106,0.7456185187114881,0.0,0.0,0.0,0.0
best3_new_5seed_novel,643.6661660671234,0.8389697683480659,0.6649740649807838,0.06409605318005329,0.6039490425731497,0.1847465784978157,0.14877705464407429,0.41346674825442525,0.12685819917195923
best3_no_size_aware_5seed_novel,649.9518830776215,1.135612711486863,0.9085834553164821,-0.7128945464292235,0.6070916500883448,0.2471370513366326,0.1936703680302281,0.7250582163590529,0.11772792145996934
best3_new_5seed_large,909.9501721858978,1.18778691818272,0.858784917056235,0.6616053823136687,0.8590852997687894,0.022611127097880178,0.01285681377540478,0.012862061261625504,0.005476620873273336
best3_clean_sequence,276.2885298728943,0.5786572846273499,0.5623203692565993,0.4925538686013991,0.5753639686666061,0.7765481766211492,0.7765481766211492,0.6030270706136315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best3_clean_sequence_5seed,423.6677782535553,0.6262797064879063,0.5997269685548637,0.5223618438166957,0.5010101383058514,0.7399943701835582,0.7399943701835582,0.5483414535151312,0.03534486271934444,0.02661816695812291,0.018664964152576666,0.056282726174468695,0.02738221341984763,0.02738221341984763,0.040223196138684685
traditional_baseline_novel,14.207123041152954,1.001863811209702,0.9043856903563042,0.822713249206543,-0.27289148551934894,0.493890397422128,0.493890397422128,0.24392772466578752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best3_clean_sequence_5seed_l3,390.4063320159912,0.65697098447802,0.6074863090235112,0.5353908754164174,0.44708219086394274,0.7365459632784516,0.7365459632784516,0.5428727510625666,0.06625120702685579,0.01879173643776917,0.050641320784424855,0.11407181162988424,0.019307900993748392,0.019307900993748392,0.028344176191901653
best3_clean_sequence_5seed_l3,451.67940497398376,0.6208871726290677,0.5834226844609682,0.5053472865012385,0.5072522490737346,0.7567791069954003,0.7567791069954003,0.5740257789034717,0.05524915467828938,0.03435613152395866,0.04896253752038757,0.08843146828670759,0.036209972641748876,0.036209972641748876,0.05436370400156326
best3_clean_sequence_5seed_l3,625.6193840503693,0.6842027941500275,0.6678091018821488,0.5695832498611942,0.39995187944264227,0.6891364565153586,0.6891364565153586,0.47860656037200294,0.07092928959645418,0.06343667789791747,0.06127353399500596,0.12463429909330294,0.06080711038569426,0.06080711038569426,0.08246454362694922
best3_standardized_no_raw_size_5seed,1323.740901708603,0.7980966032219243,0.737862314074641,0.6398559354966686,0.16316328241923556,0.6180630188776267,0.6180630188776267,0.38945097901363274,0.15140838670838833,0.09569835118996692,0.11230984261567417,0.31383898288750545,0.0863080744166335,0.0863080744166335,0.10637414029947992
best3_clean_sequence_5seed,424.119432926178,0.6262797064879063,0.5997269685548637,0.5223618438166957,0.5010101383058514,0.7399943701835582,0.7399943701835582,0.5483414535151312,0.03534486271934444,0.02661816695812291,0.018664964152576666,0.056282726174468695,0.02738221341984763,0.02738221341984763,0.040223196138684685
